tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;10,7;10,05;10;10,7;10,55;11,5;11,25;26,6;26,6;131,45;134,15;121,25;29,6;29,6;20,4;20,4;29,35;29,35;29,35;13,5;10,6;15,1;14,85;13,95;16,25;11,65
 02/ 2019;10,35;9,6;9,65;10,15;10,35;11,25;11,05;26,3;26,3;131,45;134,15;121,25;28,85;28,85;20,75;20,75;32,65;32,65;32,65;13,55;10,75;15,15;14,75;14,05;16,25;11,85
 03/ 2019;10;9,35;9,35;9,8;10;10,9;10,6;25,5;25,5;131,45;134,15;121,25;37,35;37,35;26,1;26,1;29;29;29;13,5;10,6;15,1;14,75;14,1;16,25;11,9
 04/ 2019;10,05;9,45;9,45;9,95;9,95;10,9;10,55;27,7;27,7;131,45;134,15;121,25;38,35;38,35;47,25;47,25;34,1;34,1;34,1;13,4;10,4;15;14,65;14,3;16,25;12,25
 05/ 2019;10,1;9,35;9,55;9,95;9,95;10,95;10,7;27,8;27,8;131,25;135;117,5;36,65;36,65;39,1;39,1;35,75;35,75;35,75;13,4;10,4;15;14,75;14,8;16,25;13,35
 06/ 2019;10,15;9,45;9,65;10;10;10,95;10,8;28,55;28,55;130,2;133,75;115;38,25;38,25;38,85;38,85;46,25;46,25;46,25;13,3;10,4;14,75;14,75;14,7;16,1;13,35
 07/ 2019;10,15;9,5;9,5;9,9;10;10,95;10,75;29,35;29,35;130;134,15;112,5;29,75;29,75;34,15;34,15;56;56;56;13,3;10,35;14,85;14,65;14,7;16,15;13,2
 08/ 2019;10,15;9,4;9,6;10,1;9,9;11;10,7;25,6;25,6;129,15;134,15;107,5;27,35;27,35;32,5;32,5;65,5;65,5;65,5;13,2;10,25;14,75;14,6;14,65;16,15;13,1
 09/ 2019;10,2;9,5;9,65;10,1;9,9;11;10,8;27,65;27,65;128,75;134,15;105;23,75;23,75;30,6;30,6;42,35;42,35;42,35;13,2;10,35;14,65;14,6;14,6;16,25;12,95
 10/ 2019;10,1;9,45;9,5;10;9,85;10,95;10,8;30,6;30,6;130,2;134,15;113,75;26,4;26,4;29,35;29,35;41,15;41,15;41,15;12,9;10;14,35;14,35;14,65;16,15;13,1
