tahun ,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
 01/ 2019,12.4,10.45,11.7,12.4,12.25,13.9,13.55,26.0,26.0,122.5,122.5,122.5,23.75,23.75,20.9,20.9,26.4,26.4,26.4,12.55,11.45,13.65,12.55,12.55,13.4,11.7
 02/ 2019,12.3,10.45,11.7,12.3,12.1,13.75,13.4,30.25,30.25,120.0,120.0,120.0,25.15,25.15,22.5,22.5,29.75,29.75,29.75,12.45,11.25,13.55,12.55,12.55,13.5,11.65
 03/ 2019,12.0,10.2,11.65,12.1,11.75,13.35,13.0,28.5,28.5,121.25,121.25,121.25,34.15,34.15,30.0,30.0,28.75,28.75,28.75,12.45,11.2,13.55,12.55,12.75,13.5,11.95
 04/ 2019,11.55,9.75,11.25,11.6,11.4,13.0,12.4,40.0,40.0,121.25,121.25,121.25,43.15,43.15,46.9,46.9,29.75,29.75,29.75,12.25,10.8,13.4,12.55,12.65,13.5,11.75
 05/ 2019,11.65,9.75,11.3,11.6,11.4,13.2,12.6,35.0,35.0,121.25,121.25,121.25,34.5,34.5,36.0,36.0,34.75,34.75,34.75,12.25,10.8,13.4,12.55,12.7,13.5,11.8
 06/ 2019,11.95,9.85,11.45,11.9,11.7,13.6,13.0,29.9,29.9,123.75,123.75,123.75,35.5,35.5,36.4,36.4,53.4,53.4,53.4,12.25,10.8,13.4,12.55,12.7,13.5,11.8
 07/ 2019,12.2,10.1,11.35,12.35,11.9,13.75,13.75,33.65,33.65,122.5,122.5,122.5,29.15,29.15,31.65,31.65,66.65,66.65,66.65,12.2,10.8,13.25,12.5,12.7,13.5,11.9
 08/ 2019,12.0,10.05,11.35,12.05,11.8,13.45,13.35,24.75,24.75,121.9,121.9,121.9,20.25,20.25,30.0,30.0,53.2,46.25,60.1,12.2,10.8,13.25,12.5,12.7,13.5,11.9
 09/ 2019,12.0,10.05,11.35,12.0,11.8,13.45,13.3,30.25,30.25,121.9,121.9,121.9,16.65,16.65,29.25,29.25,42.35,43.5,41.15,12.25,10.95,13.25,12.5,12.75,13.5,11.95
 10/ 2019,12.0,10.05,11.35,12.0,11.8,13.45,13.3,32.65,32.65,121.9,121.9,121.9,25.65,25.65,29.25,29.25,42.05,41.0,43.05,12.25,10.95,13.25,12.5,12.75,13.5,11.95
 11/ 2019,11.95,10.05,11.35,11.95,11.7,13.35,13.1,34.4,34.4,121.9,121.9,121.9,31.9,31.9,29.5,29.5,34.55,29.5,39.55,12.25,10.95,13.25,12.5,12.75,13.5,11.95
 12/ 2019,11.85,9.95,11.3,11.9,11.6,13.15,13.0,35.25,35.25,121.9,121.9,121.9,36.0,36.0,31.15,31.15,36.0,35.4,36.6,12.25,10.95,13.25,12.5,12.75,13.5,11.95
 01/ 2020,11.7,9.95,11.3,11.9,11.55,12.85,12.55,26.65,26.65,121.9,121.9,121.9,34.0,34.0,36.0,36.0,42.1,39.0,45.15,12.55,11.0,13.55,13.15,13.2,13.8,12.55
 02/ 2020,12.05,10.15,11.4,12.4,11.75,13.35,13.35,30.65,30.65,121.9,121.9,121.9,31.65,31.65,41.15,41.15,40.45,37.5,43.35,13.3,12.65,14.2,13.15,13.85,14.45,13.25
 03/ 2020,12.1,10.15,11.4,12.5,11.7,13.4,13.35,28.25,28.25,121.9,121.9,121.9,36.5,36.5,41.9,41.9,34.35,34.4,34.3,13.4,12.8,14.0,13.3,17.4,17.2,17.65
 04/ 2020,11.85,10.0,11.1,12.05,11.65,13.3,13.05,22.5,22.5,121.9,121.9,121.9,48.0,48.0,34.0,34.0,27.4,28.65,26.1,13.4,12.8,14.0,13.3,17.5,17.2,17.75
 05/ 2020,11.85,10.0,11.1,12.05,11.65,13.3,13.05,38.5,38.5,125.0,125.0,125.0,54.75,54.75,22.9,22.9,26.95,29.9,23.95,13.4,12.8,14.0,13.3,17.25,17.2,17.3
 06/ 2020,11.65,10.0,11.1,11.75,11.65,12.65,12.65,34.5,34.5,124.4,124.4,124.4,43.9,43.9,17.4,17.4,25.15,27.5,22.8,13.3,12.55,14.0,13.25,15.25,16.15,14.3
 07/ 2020,11.7,10.0,11.2,11.8,11.65,12.75,12.75,29.9,29.9,124.4,124.4,124.4,31.15,31.15,17.25,17.25,28.45,31.5,25.35,12.95,12.15,13.65,13.15,13.65,14.15,13.15
 08/ 2020,11.7,10.0,11.2,11.8,11.65,12.75,12.75,27.9,27.9,124.4,124.4,124.4,25.0,25.0,25.4,25.4,24.6,28.25,20.85,12.95,12.15,13.65,13.15,13.65,14.15,13.15
