No;I;1;2;3;4;5;6;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;12,950;11,850;11,100;13,300;12,250;15,400;13,750;34,750;34,750;123,750;129,150;118,350;28,350;28,350;33,000;33,000;29,150;26,650;31,650;12,800;12,000;13,000;13,350;13,400;14,000;12,750
 02/ 2019;12,750;11,700;10,850;13,100;12,100;15,300;13,550;34,500;34,500;123,750;129,150;118,350;33,850;33,850;40,350;40,350;29,600;23,350;35,850;12,850;12,100;13,150;13,350;13,450;14,000;12,900
 03/ 2019;12,700;11,650;10,800;13,050;12,050;15,200;13,450;33,600;33,600;123,750;129,150;118,350;53,350;53,350;56,150;56,150;29,150;27,500;30,850;12,850;12,100;13,150;13,350;13,450;14,000;12,900
 04/ 2019;12,550;11,500;10,650;12,900;11,850;15,050;13,300;37,100;37,100;125,400;130,850;120,000;40,850;40,850;60,000;60,000;35,000;33,350;36,650;12,850;12,100;13,150;13,350;13,450;14,000;12,900
 05/ 2019;12,600;11,450;10,600;12,900;11,850;15,250;13,500;38,350;38,350;127,900;134,150;121,650;44,150;44,150;52,500;52,500;35,000;33,350;36,650;12,850;12,100;13,150;13,350;14,400;15,000;13,750
 06/ 2019;12,600;11,450;10,600;12,900;11,850;15,250;13,500;33,350;33,350;129,600;136,650;122,500;36,650;36,650;50,850;50,850;52,500;59,150;45,850;12,850;12,100;13,150;13,350;14,400;15,000;13,750
 07/ 2019;12,600;11,450;10,600;12,900;11,850;15,250;13,500;36,150;36,150;129,600;136,650;122,500;34,150;34,150;41,650;41,650;83,350;73,350;93,350;12,750;11,750;13,150;13,350;14,250;14,750;13,750
 08/ 2019;12,600;11,500;10,650;12,900;11,900;15,250;13,500;33,150;33,150;129,600;136,650;122,500;27,150;27,150;38,000;38,000;69,150;59,150;79,150;12,800;11,900;13,150;13,350;14,250;14,750;13,750
 09/ 2019;12,700;11,550;10,700;12,950;11,950;15,350;13,600;35,650;35,650;127,900;135,000;120,850;23,850;23,850;38,350;38,350;50,400;42,500;58,350;12,800;11,900;13,150;13,350;14,250;14,750;13,750
