No;I;1;2;II;1;III;1;2;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Medium I;Beras Kualitas Super I;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;10,750;10,350;11,150;29,150;29,150;111,900;113,750;110,000;35,350;35,350;28,350;28,350;28,350;28,350;28,350;14,100;11,350;16,150;15,750;13,000;16,500;11,750
 02/ 2019;10,750;10,350;11,150;29,150;29,150;111,900;113,750;110,000;34,000;34,000;29,350;29,350;38,850;38,850;38,850;14,450;12,000;16,150;15,750;12,750;16,500;11,500
 03/ 2019;10,750;10,350;11,150;29,600;29,600;111,900;113,750;110,000;39,350;39,350;39,000;39,000;42,500;42,500;42,500;14,450;11,850;16,350;15,750;13,200;16,500;12,150
 04/ 2019;10,750;10,250;11,150;36,250;36,250;118,750;120,000;115,000;48,650;48,650;64,350;64,350;71,650;71,650;71,650;14,100;11,400;16,000;16,000;13,950;16,750;13,000
 05/ 2019;10,750;10,250;11,150;30,000;30,000;120,000;120,000;120,000;39,650;39,650;53,350;53,350;69,150;69,150;69,150;14,600;12,500;16,000;16,000;14,650;16,750;13,900
 06/ 2019;10,750;10,250;11,150;37,650;37,650;121,250;121,250;122,500;45,000;45,000;48,350;48,350;39,150;39,150;39,150;16,050;12,650;18,550;17,550;14,200;16,000;13,650
 07/ 2019;10,750;10,150;11,350;31,650;31,650;118,750;118,750;122,500;34,850;34,850;43,150;43,150;70,850;70,850;70,850;15,750;12,350;18,550;16,600;14,150;16,000;13,500
 08/ 2019;10,700;10,150;11,250;25,400;25,400;121,250;121,250;122,500;28,500;28,500;40,150;40,150;52,500;52,500;52,500;16,250;13,650;18,550;16,600;14,150;16,000;13,500
 09/ 2019;10,700;10,150;11,250;25,000;25,000;121,250;121,250;122,500;25,150;25,150;36,000;36,000;86,650;86,650;86,650;15,800;12,500;18,550;16,600;14,150;16,000;13,500
 10/ 2019;10,700;10,150;11,250;28,750;28,750;121,250;121,250;122,500;28,650;28,650;37,350;37,350;118,350;118,350;118,350;15,650;12,150;18,550;16,600;14,250;16,000;13,750
 11/ 2019;10,700;10,150;11,250;29,150;29,150;121,250;121,250;122,500;35,650;35,650;37,650;37,650;75,000;75,000;75,000;15,900;12,900;18,550;16,600;14,500;16,000;14,000
 12/ 2019;10,700;10,150;11,250;29,150;29,150;121,250;121,250;122,500;35,500;35,500;37,650;37,650;36,650;36,650;36,650;15,950;13,100;18,550;16,600;14,500;16,000;14,000
 01/ 2020;10,700;10,150;11,250;27,500;27,500;121,250;121,250;122,500;48,850;48,850;40,500;40,500;76,650;55,000;80,850;16,800;14,850;18,550;17,100;15,250;16,000;15,000
 02/ 2020;10,700;10,150;11,250;27,500;27,500;121,250;121,250;122,500;42,500;42,500;51,650;51,650;29,350;20,000;31,000;14,950;13,000;16,500;15,750;16,150;16,000;16,000
 03/ 2020;10,700;10,150;11,250;25,850;25,850;121,250;121,250;122,500;42,850;42,850;52,500;52,500;56,250;50,000;57,500;14,950;13,000;16,500;15,750;17,650;17,000;18,000
 04/ 2020;11,400;11,000;11,750;23,750;23,750;120,000;120,000;120,000;42,650;42,650;49,150;49,150;43,350;40,000;44,150;15,100;13,350;16,400;16,150;19,850;20,000;19,650
 05/ 2020;11,350;10,900;11,750;29,150;29,150;120,000;120,000;120,000;75,850;75,850;41,000;41,000;31,650;20,000;34,150;15,050;13,350;16,250;16,150;19,600;20,000;19,350
 06/ 2020;11,300;10,900;11,650;30,850;30,850;120,000;120,000;120,000;48,350;48,350;30,350;30,350;31,850;25,000;33,500;15,350;13,500;16,600;16,500;17,150;19,000;16,650
 07/ 2020;11,150;10,650;11,600;28,750;28,750;120,000;120,000;120,000;35,500;35,500;28,500;28,500;36,500;35,000;37,350;15,850;13,600;17,150;17,950;16,650;18,250;16,150
 08/ 2020;11,000;10,600;11,400;23,350;23,350;120,000;120,000;120,000;33,500;33,500;27,350;27,350;34,500;25,000;36,650;16,250;13,900;17,700;17,950;16,050;16,750;15,650
