No;I;1;2;3;4;5;6;II;1;III;1;IV;1;V;1;VI;1;2;VII;1;2;3;VIII;1;2
Komoditas (Rp);Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 01/ 2019;12,150;11,100;10,550;12,150;11,900;13,950;13,050;27,250;27,250;121,250;121,250;24,250;24,250;21,250;21,250;32,400;25,250;39,500;11,750;10,000;13,150;12,150;12,950;13,750;12,100
 02/ 2019;12,150;11,100;10,550;12,150;11,900;13,950;13,050;30,000;30,000;121,250;121,250;24,900;24,900;23,750;23,750;29,650;23,900;35,400;11,800;10,150;13,150;12,150;12,950;13,750;12,100
 03/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;30,000;30,000;121,250;121,250;35,250;35,250;28,250;28,250;27,700;26,400;29,000;11,800;10,100;13,150;12,150;13,000;13,750;12,150
 04/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;36,900;36,900;121,250;121,250;32,500;32,500;45,750;45,750;31,900;30,000;33,750;11,800;10,100;13,150;12,150;13,100;13,750;12,400
 05/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;31,750;31,750;120,000;120,000;32,150;32,150;33,900;33,900;35,150;34,150;36,150;11,800;10,100;13,150;12,150;13,400;13,950;12,800
 06/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;29,900;29,900;121,250;121,250;33,500;33,500;34,250;34,250;52,350;57,000;47,650;11,800;10,100;13,150;12,150;13,400;13,950;12,800
 07/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;29,900;29,900;121,250;121,250;24,750;24,750;33,000;33,000;81,700;74,650;88,750;11,600;9,850;12,750;12,150;13,300;13,950;12,650
 08/ 2019;12,100;11,100;10,550;12,100;11,850;13,950;12,950;25,750;25,750;121,250;121,250;16,000;16,000;30,150;30,150;67,850;45,750;89,900;11,600;9,850;12,750;12,150;13,300;13,950;12,650
 09/ 2019;12,100;11,100;10,550;12,150;12,000;13,950;12,950;30,500;30,500;121,250;121,250;16,400;16,400;29,150;29,150;50,900;40,150;61,650;11,700;9,950;12,900;12,150;13,300;13,950;12,650
 10/ 2019;12,100;11,100;10,550;12,150;12,000;13,950;12,950;31,500;31,500;121,250;121,250;22,000;22,000;29,150;29,150;39,450;32,250;46,650;11,700;9,950;12,900;12,150;13,500;13,950;13,050
 11/ 2019;12,150;11,100;10,650;12,150;12,000;13,950;12,950;32,900;32,900;121,250;121,250;27,250;27,250;29,150;29,150;36,450;24,750;48,150;12,000;10,900;12,900;12,150;13,500;13,950;13,050
 12/ 2019;12,150;11,100;10,650;12,150;12,000;13,950;12,950;34,500;34,500;121,250;121,250;33,150;33,150;29,150;29,150;41,950;33,900;50,000;12,200;11,450;13,000;12,200;13,500;13,950;13,050
 01/ 2020;12,150;11,100;10,650;12,150;12,000;13,950;12,950;27,200;27,200;121,250;121,250;28,250;28,250;33,150;33,150;61,900;37,500;86,250;12,800;12,650;13,150;12,650;13,600;14,000;13,100
 02/ 2020;12,150;11,100;10,650;12,150;12,000;13,950;12,950;30,000;30,000;121,250;121,250;26,900;26,900;37,400;37,400;42,400;37,900;46,900;12,650;12,200;13,150;12,650;13,900;14,100;13,650
 03/ 2020;11,800;10,600;10,150;11,750;11,400;13,950;12,950;28,250;28,250;121,250;121,250;31,750;31,750;36,750;36,750;36,350;24,900;47,750;12,450;11,450;13,350;12,450;16,050;14,100;18,000
 04/ 2020;11,800;10,600;10,150;11,750;11,400;13,950;12,950;21,650;21,650;123,750;123,750;48,250;48,250;31,400;31,400;31,500;26,250;36,750;12,500;11,700;13,350;12,450;15,850;14,100;17,600
 05/ 2020;11,800;10,600;10,150;11,650;11,400;13,950;12,950;37,100;37,100;122,500;122,500;53,900;53,900;25,650;25,650;35,850;34,150;37,500;12,200;10,800;13,350;12,450;15,400;14,100;16,700
 06/ 2020;11,800;10,600;10,150;11,650;11,400;13,950;12,950;33,250;33,250;120,000;120,000;35,750;35,750;18,750;18,750;31,500;27,500;35,500;12,050;10,400;13,350;12,450;13,950;14,050;13,900
 07/ 2020;11,800;10,600;10,150;11,650;11,400;13,950;12,950;30,250;30,250;120,000;120,000;31,150;31,150;17,000;17,000;26,900;26,150;27,650;12,250;10,950;13,350;12,450;13,700;14,050;13,400
 08/ 2020;11,800;10,600;10,150;11,850;11,400;13,950;12,950;27,450;27,450;120,000;120,000;26,900;26,900;21,000;21,000;21,900;21,400;22,400;12,750;12,150;13,400;12,700;13,700;14,050;13,400
 09/ 2020;11,800;10,600;10,150;11,850;11,400;13,950;12,950;29,850;29,850;120,000;120,000;25,250;25,250;21,400;21,400;24,200;23,150;25,250;13,100;12,900;13,650;12,800;13,600;14,100;13,150
 10/ 2020;11,800;10,600;10,150;11,850;11,400;13,950;12,950;29,850;29,850;120,000;120,000;25,250;25,250;21,400;21,400;24,200;23,150;25,250;13,100;12,900;13,650;12,800;13,600;14,100;13,150
 11/ 2020;11,800;10,600;10,150;11,850;11,400;13,950;12,950;32,750;32,750;120,000;120,000;28,900;28,900;23,750;23,750;43,500;30,900;56,150;13,500;13,200;14,100;13,150;13,650;14,100;13,200
 12/ 2020;11,800;10,600;10,150;11,850;11,400;13,950;12,950;34,400;34,400;120,000;120,000;26,650;26,650;23,000;23,000;59,350;50,400;68,250;13,500;13,200;14,100;13,150;13,650;14,100;13,200
 01/ 2021;11,800;10,600;10,150;11,850;11,400;13,950;12,950;32,750;32,750;120,000;120,000;26,150;26,150;23,000;23,000;82,200;76,650;87,750;13,600;13,550;14,100;13,150;13,650;14,100;13,200
 02/ 2021;11,800;10,600;10,150;11,850;11,400;13,950;12,950;32,200;32,200;120,000;120,000;29,400;29,400;25,650;25,650;79,200;60,250;98,150;13,550;13,450;14,100;13,150;13,650;14,100;13,200
 03/ 2021;11,800;10,600;10,150;11,850;11,400;13,950;12,950;30,950;30,950;120,000;120,000;29,400;29,400;25,500;25,500;80,650;47,500;113,750;13,650;13,600;14,100;13,200;13,650;14,100;13,200
 04/ 2021;11,800;10,600;10,150;11,850;11,400;13,950;12,950;32,650;32,650;120,000;120,000;28,900;28,900;25,250;25,250;43,750;30,250;57,250;14,000;13,650;14,750;13,500;13,650;14,100;13,200
 05/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;32,600;32,600;126,250;126,250;30,650;30,650;25,400;25,400;35,250;24,250;46,250;14,200;14,250;14,750;13,500;13,650;14,100;13,200
 06/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;34,750;34,750;125,000;125,000;27,150;27,150;24,750;24,750;43,350;31,750;54,900;14,150;14,100;14,750;13,500;13,650;14,100;13,150
 07/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;28,950;28,950;126,900;126,900;28,750;28,750;25,150;25,150;38,350;25,900;50,750;14,500;14,150;15,200;14,100;13,600;14,100;13,100
 08/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;28,900;28,900;126,900;126,900;29,150;29,150;25,150;25,150;27,100;26,400;27,750;15,700;16,150;16,050;14,950;13,450;14,100;12,850
 09/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;32,350;32,350;126,900;126,900;28,650;28,650;25,150;25,150;30,850;32,750;28,900;15,700;16,150;16,050;14,950;13,450;14,100;12,850
 10/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;34,350;34,350;126,900;126,900;27,400;27,400;25,150;25,150;26,850;22,650;31,000;16,450;17,700;16,150;15,450;13,450;14,100;12,850
 11/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;33,500;33,500;126,900;126,900;20,000;20,000;25,150;25,150;42,000;36,250;47,750;17,850;18,650;17,700;17,150;13,450;14,100;12,850
 12/ 2021;11,800;10,600;10,150;11,850;11,450;13,950;12,950;35,700;35,700;126,900;126,900;24,500;24,500;25,150;25,150;65,250;50,500;80,000;18,350;18,650;18,350;18,050;13,500;14,100;12,900
 01/ 2022;11,800;10,600;10,150;11,850;11,450;13,950;12,950;35,000;35,000;126,900;126,900;25,250;25,250;25,250;25,250;44,600;48,500;40,650;18,700;19,000;18,950;18,150;14,100;14,100;14,100
 02/ 2022;11,800;10,600;10,150;11,850;11,450;13,950;12,950;35,000;35,000;126,900;126,900;25,250;25,250;25,250;25,250;44,600;48,500;40,650;18,700;19,000;18,950;18,150;14,100;14,100;14,100
 03/ 2022;11,800;10,600;10,150;11,850;11,450;13,950;12,950;34,150;34,150;130,650;130,650;29,150;29,150;26,000;26,000;43,300;42,150;44,400;22,400;18,000;25,000;24,250;14,100;14,100;14,100
 04/ 2022;11,800;10,600;10,150;11,850;11,450;13,950;12,950;38,700;38,700;145,000;145,000;40,000;40,000;25,900;25,900;34,350;32,500;36,150;22,550;18,250;25,000;24,250;14,100;14,100;14,100
 05/ 2022;11,900;10,700;10,350;11,850;11,600;13,950;13,000;29,100;29,100;134,400;134,400;44,900;44,900;24,150;24,150;63,700;58,000;69,400;22,450;18,000;25,000;24,250;14,100;14,100;14,100
 06/ 2022;11,900;10,700;10,350;11,850;11,600;13,950;13,000;29,600;29,600;136,250;136,250;53,150;53,150;20,600;20,600;91,100;79,650;102,500;21,450;16,500;24,750;23,000;14,100;14,100;14,100
 07/ 2022;11,900;10,700;10,350;11,850;11,600;13,950;13,000;28,450;28,450;136,250;136,250;41,650;41,650;22,650;22,650;71,450;55,400;87,500;17,600;14,150;20,250;18,400;14,100;14,100;14,100
 08/ 2022;12,100;10,900;10,500;12,000;12,000;13,950;13,000;30,500;30,500;136,250;136,250;33,900;33,900;22,650;22,650;48,650;45,900;51,400;17,750;14,350;20,500;18,400;14,100;14,100;14,100
 09/ 2022;12,450;10,900;10,500;12,750;12,600;14,450;13,500;29,400;29,400;136,250;136,250;30,650;30,650;22,650;22,650;52,600;34,250;70,900;17,100;14,350;20,500;16,400;14,100;14,100;14,100
 10/ 2022;12,550;10,900;10,500;13,250;12,600;14,450;13,500;29,000;29,000;136,250;136,250;29,900;29,900;22,650;22,650;36,950;21,150;52,750;17,200;14,700;20,500;16,400;14,100;14,100;14,100
 11/ 2022;12,850;10,900;10,500;13,650;12,600;15,000;14,400;31,700;31,700;136,250;136,250;29,750;29,750;20,900;20,900;37,050;30,400;43,650;17,350;15,100;20,500;16,400;14,100;14,100;14,100
 12/ 2022;12,850;10,900;10,500;13,650;12,600;15,000;14,400;37,100;37,100;136,250;136,250;30,250;30,250;23,900;23,900;49,250;43,650;54,900;17,600;15,250;20,500;17,000;14,100;14,100;14,100
 01/ 2023;12,850;10,900;10,500;13,650;12,600;15,000;14,400;28,450;28,450;136,250;136,250;34,250;34,250;24,650;24,650;54,950;46,250;63,650;17,750;15,650;20,500;17,000;14,100;14,100;14,100
